105,1,005235,005236,wjs,cjj,
106,1,005245,005246,ljj,wl,
107,2,005246,005247,ljj,bby,
108,1,005249,005255,ljj,wl,
109,1,005307,005316,bby,yj,
110,6,005420,005521,pl,wl,
111,4,005526,005528,ljj,bby,
112,9,005702,005829,wl,ljj,
113,3,005918,005931,sdr,wjs,
114,1,005954,010147,pl,wl,
115,1,010157,010204,bby,yj+lu+hj+xj+hj,
116,7,010208,010318,bld,pl,
117,2,010351,010354,wjs,ljj,
118,2,010355,010358,ljj,hjjjjjjj,
119,5,010418,010503,bld,pl,
120,10,010515,010609,pl+bld,wl,
121,2,010613,010616,bld,pl,
122,1,010620,010632,wjs,ljj+cjj+wjj+djj,
123,1,010633,010638,djj,ljj+cjj+wjj+wjs,
124,1,010641,010646,wjs,ljj+cjj+wjj+djj,
125,2,010646,010650,ljj,wjs,
126,1,010650,010656,wjj,ljj,
127,1,010658,010659,ljj,cjj+wjj+djj+wjs,
128,1,010709,010710,bld,pl,
129,2,010800,010803,srz,sdr,
130,1,010803,010816,dc,srz,
131,1,010816,010817,wjj,hj,
132,8,010835,010907,wl,ljj,
133,4,010909,010935,py,ljj,
134,2,010938,010944,wjj,py,
135,2,010958,011002,ljj,hjjjjjjj,
136,3,011027,011051,pl,bld,
137,4,011133,011137,ljj,hjjjjjjj,
138,5,011212,011323,wl,wjs,
139,1,011329,011334,py,wjs,
140,1,011335,011337,wjs,wl,
141,1,011359,011416,sdr,dc,
142,2,011605,011609,ljj,hjjjjjjj,
143,1,011709,011710,wl,ljj,
144,2,011719,011721,wjs,py,
145,1,011724,011726,wjs,wl,
146,2,011738,011742,ljj,wl,
147,2,011744,011755,ljj,wjs,
148,1,011810,011812,ylj,ljj,
149,2,011827,011848,ljj,srz,
150,2,011848,011858,wjs,srz,
151,6,011918,011933,wjs,wl,
152,1,012042,012044,wl,py,
153,1,012045,012046,ljj,py,
154,1,012047,012048,wl,wjs+ljj,
155,1,012107,012108,ljj,wjs+wl,
156,2,012231,012259,wl,wjs,
157,1,012336,012337,wl,wjs+ljj,
158,1,012342,012344,wjs,wl+ljj,
159,3,012407,012430,ljj,wl,
160,1,012443,012446,wjs,ljj,
161,3,012538,012641,wl,ljj,
162,11,012759,012919,wl,pl,
163,6,012929,013011,ljj,wl,
164,2,013037,013044,pl,wl,
